Item Name,Category,Quantity,Price (₱),Date Added,Date Updated
Bamboo toothbrush,Personal Care,50,120.0,2025-06-26 16:30:02,
Bamboo Cotton Buds,Personal Care,100,65.0,2025-06-26 16:30:37,
Bamboo Hair Brush,Personal Care,20,250.0,2025-06-26 16:31:13,
Bamboo Face Towels (Set of 3),Personal Care,30,299.0,2025-06-26 16:31:38,
Bamboo Razor,Personal Care,15,350.0,2025-06-26 16:31:56,
Bamboo Comb,Personal Care,25,80.0,2025-06-26 16:32:11,
Bamboo Charcoal Soap,Personal Care,40,95.0,2025-06-26 16:32:29,
Bamboo Dinnerware Set,Home Goods,25,750.0,2025-06-26 16:33:37,
Bamboo Cutting Board,Home Goods,40,220.0,2025-06-26 16:34:02,
Bamboo Tumbler,Home Goods,30,180.0,2025-06-26 16:34:22,
Bamboo Food Container,Home Goods,35,280.0,2025-06-26 16:34:44,
Bamboo Placemat (Set of 4),Home Goods,50,150.0,2025-06-26 16:35:07,
Bamboo Wall Art,Decor,15,499.0,2025-06-26 16:35:31,
Bamboo Wind Chime,Decor,20,199.0,2025-06-26 16:35:58,
Bamboo Picture Frame,Decor,25,150.0,2025-06-26 16:37:18,
Bamboo Shelf,Decor,10,850.0,2025-06-26 16:37:47,
Bamboo Lantern,Personal Care,18,320.0,2025-06-26 16:38:11,
Bamboo Plant Trellis,Gardening,40,95.0,2025-06-26 16:38:56,
Bamboo Seedling Pots (Set of 5),Gardening,30,150.0,2025-06-26 16:39:08,
Bamboo Garden Fence Panel,Gardening,12,420.0,2025-06-26 16:39:28,
Bamboo Watering Can,Gardening,10,300.0,2025-06-26 16:39:46,
Bamboo Rake,Wellness,8,220.0,2025-06-26 16:40:07,
Notebook,Other,50,120.0,2025-06-26 16:40:35,
Sunglasses,Other,15,499.0,2025-06-26 16:40:49,2025-06-26 16:41:34
Phone Stand,Other,40,140.0,2025-06-26 16:41:09,
Utensil Travel Set,Other,25,180.0,2025-06-26 16:42:09,
Key Holder,Other,30,90.0,2025-06-26 16:42:23,
